"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-13 22:28:30,28.6,94.9,58.4
2025-09-13 22:29:00,28.6,94.9,58.4
2025-09-13 22:29:30,28.6,94.9,58.4
2025-09-13 22:30:00,28.6,94.9,59.4
2025-09-13 22:30:30,28.6,94.9,59.4
2025-09-13 22:31:00,28.6,94.9,59.4
2025-09-13 22:31:30,28.6,94.9,59.4
2025-09-13 22:32:00,28.6,94.9,59.4
2025-09-13 22:32:30,28.6,94.9,59.4
2025-09-13 22:33:00,28.6,94.9,59.4
2025-09-13 22:33:30,28.6,94.9,59.4
2025-09-13 22:34:00,28.6,94.9,59.4
2025-09-13 22:34:30,28.6,94.9,59.4
2025-09-13 22:35:00,28.6,94.9,59.4
2025-09-13 22:35:30,28.6,94.9,59.4
2025-09-13 22:36:00,28.6,94.9,59.4
2025-09-13 22:36:30,28.6,94.9,59.4
2025-09-13 22:37:00,28.6,94.9,59.4
2025-09-13 22:37:30,28.6,94.9,59.4
2025-09-13 22:38:00,28.6,94.9,59.4
2025-09-13 22:38:30,28.6,94.9,59.4
2025-09-13 22:39:00,28.6,94.9,59.4
2025-09-13 22:39:30,28.6,94.9,59.4
2025-09-13 22:40:00,28.6,98.7,59.4
2025-09-13 22:40:30,28.6,98.7,59.4
2025-09-13 22:41:00,28.6,98.7,59.4
2025-09-13 22:41:30,28.6,98.7,59.4
2025-09-13 22:42:00,30.4,98.7,64.1
2025-09-13 22:42:30,30.4,98.7,64.1
2025-09-13 22:43:00,30.4,99.4,64.1
2025-09-13 22:43:30,30.4,99.4,64.1
2025-09-13 22:44:00,30.7,99.4,64.1
2025-09-13 22:44:30,30.7,99.4,64.1
2025-09-13 22:45:00,30.7,99.4,64.1
2025-09-13 22:45:30,30.7,99.4,64.1
2025-09-13 22:46:00,30.7,99.4,64.1
2025-09-13 22:46:30,30.7,99.4,64.1
2025-09-13 22:47:00,30.7,99.4,64.1
2025-09-13 22:47:30,30.7,99.4,64.1
2025-09-13 22:48:00,30.7,99.4,64.1
2025-09-13 22:48:30,30.7,99.4,64.1
2025-09-13 22:49:00,30.7,99.4,64.1
2025-09-13 22:49:30,30.7,99.4,64.1
2025-09-13 22:50:00,30.7,99.4,64.1
2025-09-13 22:50:30,30.7,99.4,64.1
2025-09-13 22:51:00,30.7,99.4,64.1
2025-09-13 22:51:30,30.7,99.4,64.1
2025-09-13 22:52:00,30.7,99.4,64.1
2025-09-13 22:52:30,30.7,99.4,64.1
2025-09-13 22:53:00,30.7,99.4,64.1
2025-09-13 22:53:30,30.7,99.4,64.1
2025-09-13 22:54:00,30.7,99.4,64.1
2025-09-13 22:54:30,30.7,99.4,64.1
2025-09-13 22:55:00,30.7,99.4,64.1
2025-09-13 22:55:30,30.7,99.4,64.1
2025-09-13 22:56:00,30.7,99.4,64.1
2025-09-13 22:56:30,30.7,99.4,64.1
2025-09-13 22:57:00,30.7,99.4,64.1
2025-09-13 22:57:30,30.7,99.4,64.1
2025-09-13 22:58:00,30.7,99.4,64.1
2025-09-13 22:58:30,30.7,99.4,64.1
2025-09-13 22:59:00,30.7,99.4,64.1
2025-09-13 22:59:30,30.7,99.4,64.1
2025-09-13 23:00:00,30.7,99.4,63.1
2025-09-13 23:00:30,30.7,99.4,63.1
2025-09-13 23:01:00,30.7,99.4,63.1
2025-09-13 23:01:30,30.7,99.4,63.1
2025-09-13 23:02:00,30.7,99.4,61.9
2025-09-13 23:02:30,30.7,99.4,61.9
2025-09-13 23:03:00,30.7,99.4,61.9
2025-09-13 23:03:30,30.7,99.4,61.9
2025-09-13 23:04:00,30.7,99.4,61.9
2025-09-13 23:04:30,30.7,99.4,61.9
2025-09-13 23:05:00,30.7,99.4,61.9
2025-09-13 23:05:30,30.7,99.4,61.9
2025-09-13 23:06:00,30.7,99.4,61.9
2025-09-13 23:06:30,30.7,99.4,61.9
2025-09-13 23:07:00,30.7,99.4,61.9
2025-09-13 23:07:30,30.7,99.4,61.9
2025-09-13 23:08:00,30.7,99.4,61.9
2025-09-13 23:08:30,30.7,99.4,61.9
2025-09-13 23:09:00,30.7,99.4,61.9
2025-09-13 23:09:30,30.7,99.4,61.9
2025-09-13 23:10:00,30.7,90.3,61.4
2025-09-13 23:10:30,30.7,90.3,61.4
2025-09-13 23:11:00,30.7,90.3,61.4
2025-09-13 23:11:30,30.7,90.3,61.4
2025-09-13 23:12:00,27.8,90.3,49.6
2025-09-13 23:12:30,27.8,90.3,49.6
2025-09-13 23:13:00,27.8,71.4,49.6
2025-09-13 23:13:30,27.8,71.4,49.6
2025-09-13 23:14:00,22.5,71.4,47.6
2025-09-13 23:14:30,22.5,71.4,47.6
2025-09-13 23:15:00,22.5,71.4,47.6
2025-09-13 23:15:30,22.5,71.4,47.6
2025-09-13 23:16:00,22.5,71.4,47.6
2025-09-13 23:16:30,22.5,71.4,47.6
2025-09-13 23:17:00,22.4,71.4,45.4
2025-09-13 23:17:30,22.4,71.4,45.4
2025-09-13 23:18:00,22.4,71.4,45.4
2025-09-13 23:18:30,22.4,71.4,45.4
2025-09-13 23:19:00,22.4,71.4,45.4
2025-09-13 23:19:30,22.4,71.4,45.4
2025-09-13 23:20:00,22.4,71.4,45.4
2025-09-13 23:20:30,22.4,71.4,45.4
2025-09-13 23:21:00,22.4,71.4,45.4
2025-09-13 23:21:30,22.4,71.4,45.4
2025-09-13 23:22:00,22,71.4,45.4
2025-09-13 23:22:30,22,71.4,45.4
2025-09-13 23:23:00,22,71.4,44.9
2025-09-13 23:23:30,22,71.4,44.9
