"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-14 00:46:00,3,16,7
2025-09-14 00:46:30,3,16,7
2025-09-14 00:47:00,3,16,7
2025-09-14 00:47:30,3,16,7
2025-09-14 00:48:00,3,16,7
2025-09-14 00:48:30,3,16,7
2025-09-14 00:49:00,3,16,7
2025-09-14 00:49:30,3,16,7
2025-09-14 00:50:00,3,16,7
2025-09-14 00:50:30,3,16,7
2025-09-14 00:51:00,3,16,7
2025-09-14 00:51:30,3,16,7
2025-09-14 00:52:00,3,16,7
2025-09-14 00:52:30,3,16,7
2025-09-14 00:53:00,3,16,7
2025-09-14 00:53:30,3,16,7
2025-09-14 00:54:00,3,16,7
2025-09-14 00:54:30,3,16,7
2025-09-14 00:55:00,3,16,7
2025-09-14 00:55:30,3,16,7
2025-09-14 00:56:00,3,16,7
2025-09-14 00:56:30,3,16,7
2025-09-14 00:57:00,3,16,7
2025-09-14 00:57:30,3,16,7
2025-09-14 00:58:00,3,16,7
2025-09-14 00:58:30,3,16,7
2025-09-14 00:59:00,3,16,7
2025-09-14 00:59:30,3,16,7
2025-09-14 01:00:00,3,16,7
2025-09-14 01:00:30,3,16,7
2025-09-14 01:01:00,3,16,7
2025-09-14 01:01:30,3,16,7
2025-09-14 01:02:00,3,16,7
2025-09-14 01:02:30,3,16,7
2025-09-14 01:03:00,3,16,7
2025-09-14 01:03:30,3,16,7
2025-09-14 01:04:00,3,16,7
2025-09-14 01:04:30,3,16,7
2025-09-14 01:05:00,3,16,7
2025-09-14 01:05:30,3,16,7
2025-09-14 01:06:00,3,16,7
2025-09-14 01:06:30,3,16,7
2025-09-14 01:07:00,3,16,7
2025-09-14 01:07:30,3,16,7
2025-09-14 01:08:00,3,15.7,7
2025-09-14 01:08:30,3,15.7,7
2025-09-14 01:09:00,3,14.9,7
2025-09-14 01:09:30,3,14.9,7
2025-09-14 01:10:00,3,14.9,7
2025-09-14 01:10:30,3,14.9,7
2025-09-14 01:11:00,3,14.9,7
2025-09-14 01:11:30,3,14.9,7
2025-09-14 01:12:00,3,14.9,7
2025-09-14 01:12:30,3,14.9,7
2025-09-14 01:13:00,3,14.9,7
2025-09-14 01:13:30,3,14.9,7
2025-09-14 01:14:00,3,14.9,7
2025-09-14 01:14:30,3,14.9,7
2025-09-14 01:15:00,3,14.7,7
2025-09-14 01:15:30,3,14.7,7
2025-09-14 01:16:00,3,14,7
2025-09-14 01:16:30,3,14,7
2025-09-14 01:17:00,3,14,7
2025-09-14 01:17:30,3,14,7
2025-09-14 01:18:00,3,14,7
2025-09-14 01:18:30,3,14,7
2025-09-14 01:19:00,3,14,7
2025-09-14 01:19:30,3,14,7
2025-09-14 01:20:00,3,14,7
