sep=,
"Time","k6_checks_rate"
2025-09-13 22:04:15,100 %
2025-09-13 22:04:30,100 %
2025-09-13 22:04:45,100 %
2025-09-13 22:05:00,100 %
2025-09-13 22:05:15,100 %
2025-09-13 22:05:30,100 %
2025-09-13 22:05:45,100 %
2025-09-13 22:06:00,100 %
2025-09-13 22:06:15,100 %
2025-09-13 22:06:30,100 %
2025-09-13 22:06:45,100 %
2025-09-13 22:07:00,100 %
2025-09-13 22:07:15,100 %
2025-09-13 22:07:30,100 %
2025-09-13 22:07:45,100 %
2025-09-13 22:08:00,100 %
2025-09-13 22:08:15,100 %
2025-09-13 22:08:30,100 %
2025-09-13 22:08:45,100 %
2025-09-13 22:09:00,100 %
2025-09-13 22:09:15,100 %
2025-09-13 22:09:30,100 %
2025-09-13 22:09:45,100 %
2025-09-13 22:10:00,100 %
2025-09-13 22:10:15,100 %
2025-09-13 22:10:30,100 %
2025-09-13 22:10:45,100 %
2025-09-13 22:11:00,100 %
2025-09-13 22:11:15,100 %
2025-09-13 22:11:30,100 %
2025-09-13 22:11:45,100 %
2025-09-13 22:12:00,100 %
2025-09-13 22:12:15,100 %
2025-09-13 22:12:30,100 %
2025-09-13 22:12:45,100 %
2025-09-13 22:13:00,100 %
2025-09-13 22:13:15,98.3 %
2025-09-13 22:13:30,97.7 %
2025-09-13 22:13:45,99 %
2025-09-13 22:14:00,99.3 %
2025-09-13 22:14:15,99.7 %
2025-09-13 22:14:30,99.7 %
2025-09-13 22:14:45,99.7 %
2025-09-13 22:15:00,99.7 %
2025-09-13 22:15:15,99.6 %
2025-09-13 22:15:30,99.3 %
2025-09-13 22:15:45,99.3 %
2025-09-13 22:16:00,99.3 %
2025-09-13 22:16:15,99.3 %
2025-09-13 22:16:30,99.3 %
2025-09-13 22:16:45,99.3 %
2025-09-13 22:17:00,99.3 %
2025-09-13 22:17:15,99.3 %
2025-09-13 22:17:30,99.3 %
2025-09-13 22:17:45,99.3 %
2025-09-13 22:18:00,99.3 %
2025-09-13 22:18:15,99.3 %
2025-09-13 22:18:30,99.3 %
2025-09-13 22:18:45,99.3 %
2025-09-13 22:19:00,99.3 %
2025-09-13 22:19:15,99.3 %
2025-09-13 22:19:30,99.3 %
2025-09-13 22:19:45,99.3 %
2025-09-13 22:20:00,99.3 %
2025-09-13 22:20:15,99.3 %
2025-09-13 22:20:30,99.3 %
2025-09-13 22:20:45,99.3 %
2025-09-13 22:21:00,99.3 %
2025-09-13 22:21:15,99.3 %
2025-09-13 22:21:30,99.3 %
